booking_id,booking_date,booking_time,booking_discount,made_by
1,2024-09-12,00:10:58,10,Arindam_Singh_2K22_EC_049
2,2024-06-04,17:49:35,10,Arindam_Singh_2K22_EC_049
3,2024-04-14,00:51:16,5,Arindam_Singh_2K22_EC_049
4,2024-09-07,05:42:35,10,Arindam_Singh_2K22_EC_049
5,2024-05-29,01:46:30,15,Arindam_Singh_2K22_EC_049
6,2024-12-14,04:15:57,15,Arindam_Singh_2K22_EC_049
7,2024-06-02,01:20:45,0,Arindam_Singh_2K22_EC_049
8,2024-11-22,00:10:21,5,Arindam_Singh_2K22_EC_049
9,2024-07-04,04:38:05,15,Arindam_Singh_2K22_EC_049
10,2025-02-05,12:47:12,0,Arindam_Singh_2K22_EC_049
11,2024-12-31,23:57:47,15,Arindam_Singh_2K22_EC_049
12,2024-04-21,03:33:03,5,Arindam_Singh_2K22_EC_049
13,2024-08-04,05:43:41,5,Arindam_Singh_2K22_EC_049
14,2024-05-03,22:09:45,5,Arindam_Singh_2K22_EC_049
15,2024-06-06,03:49:36,10,Arindam_Singh_2K22_EC_049
16,2024-11-11,17:14:36,10,Arindam_Singh_2K22_EC_049
17,2024-11-20,07:28:53,10,Arindam_Singh_2K22_EC_049
18,2024-05-16,15:00:01,5,Arindam_Singh_2K22_EC_049
19,2024-04-01,15:02:37,10,Arindam_Singh_2K22_EC_049
20,2024-09-26,23:50:38,5,Arindam_Singh_2K22_EC_049
21,2024-12-13,18:27:45,5,Arindam_Singh_2K22_EC_049
22,2024-12-11,15:09:02,5,Arindam_Singh_2K22_EC_049
23,2024-07-30,21:40:01,10,Arindam_Singh_2K22_EC_049
24,2024-06-07,09:00:06,10,Arindam_Singh_2K22_EC_049
25,2024-08-22,01:00:45,0,Arindam_Singh_2K22_EC_049
26,2024-03-24,06:11:05,5,Arindam_Singh_2K22_EC_049
27,2024-07-07,06:31:44,15,Arindam_Singh_2K22_EC_049
28,2024-10-03,03:43:02,15,Arindam_Singh_2K22_EC_049
29,2025-01-04,05:56:36,15,Arindam_Singh_2K22_EC_049
30,2024-02-28,10:29:06,0,Arindam_Singh_2K22_EC_049
31,2024-05-12,02:25:03,15,Arindam_Singh_2K22_EC_049
32,2024-02-18,22:50:10,10,Arindam_Singh_2K22_EC_049
33,2024-05-17,15:41:44,15,Arindam_Singh_2K22_EC_049
34,2024-08-27,14:41:49,15,Arindam_Singh_2K22_EC_049
35,2024-05-15,00:57:22,0,Arindam_Singh_2K22_EC_049
36,2024-05-09,09:42:06,10,Arindam_Singh_2K22_EC_049
37,2025-02-10,11:00:27,10,Arindam_Singh_2K22_EC_049
38,2024-09-06,12:47:27,10,Arindam_Singh_2K22_EC_049
39,2024-05-05,02:19:19,0,Arindam_Singh_2K22_EC_049
40,2024-05-16,15:01:36,0,Arindam_Singh_2K22_EC_049
41,2024-04-30,01:38:42,15,Arindam_Singh_2K22_EC_049
42,2024-04-09,15:49:18,5,Arindam_Singh_2K22_EC_049
43,2024-11-02,08:03:15,0,Arindam_Singh_2K22_EC_049
44,2024-09-14,17:45:51,15,Arindam_Singh_2K22_EC_049
45,2025-01-15,13:54:44,0,Arindam_Singh_2K22_EC_049
46,2024-09-21,04:16:19,15,Arindam_Singh_2K22_EC_049
47,2024-09-01,22:00:33,10,Arindam_Singh_2K22_EC_049
48,2025-02-07,02:36:04,10,Arindam_Singh_2K22_EC_049
49,2024-04-14,11:44:27,0,Arindam_Singh_2K22_EC_049
50,2024-10-22,23:33:32,5,Arindam_Singh_2K22_EC_049
51,2025-01-15,06:23:13,10,Arindam_Singh_2K22_EC_049
52,2024-06-01,16:42:50,15,Arindam_Singh_2K22_EC_049
53,2024-04-12,17:30:13,10,Arindam_Singh_2K22_EC_049
54,2024-11-17,21:16:36,0,Arindam_Singh_2K22_EC_049
55,2024-03-05,19:46:34,5,Arindam_Singh_2K22_EC_049
56,2024-10-12,23:14:29,0,Arindam_Singh_2K22_EC_049
57,2024-05-07,19:37:48,0,Arindam_Singh_2K22_EC_049
58,2024-06-29,02:53:00,0,Arindam_Singh_2K22_EC_049
59,2024-09-30,14:08:55,15,Arindam_Singh_2K22_EC_049
60,2024-10-20,07:40:38,5,Arindam_Singh_2K22_EC_049
61,2024-07-17,21:29:39,0,Arindam_Singh_2K22_EC_049
62,2024-03-14,01:37:18,10,Arindam_Singh_2K22_EC_049
63,2024-03-12,23:26:14,15,Arindam_Singh_2K22_EC_049
64,2024-07-09,14:05:08,15,Arindam_Singh_2K22_EC_049
65,2024-10-23,17:07:15,0,Arindam_Singh_2K22_EC_049
66,2024-09-11,17:23:22,10,Arindam_Singh_2K22_EC_049
67,2024-05-23,08:04:56,15,Arindam_Singh_2K22_EC_049
68,2024-07-01,20:19:04,15,Arindam_Singh_2K22_EC_049
69,2024-07-31,18:27:18,5,Arindam_Singh_2K22_EC_049
70,2024-02-14,09:20:25,5,Arindam_Singh_2K22_EC_049
71,2024-08-07,12:22:00,10,Arindam_Singh_2K22_EC_049
72,2024-05-18,20:12:41,5,Arindam_Singh_2K22_EC_049
73,2024-03-10,16:20:01,5,Arindam_Singh_2K22_EC_049
74,2024-10-29,16:48:31,10,Arindam_Singh_2K22_EC_049
75,2024-11-30,09:12:40,10,Arindam_Singh_2K22_EC_049
76,2024-05-15,03:07:38,10,Arindam_Singh_2K22_EC_049
77,2024-03-14,22:49:55,0,Arindam_Singh_2K22_EC_049
78,2024-09-30,04:02:48,5,Arindam_Singh_2K22_EC_049
79,2024-10-25,14:14:52,15,Arindam_Singh_2K22_EC_049
80,2024-05-18,15:48:14,5,Arindam_Singh_2K22_EC_049
81,2024-08-10,19:53:02,10,Arindam_Singh_2K22_EC_049
82,2024-07-02,00:55:33,15,Arindam_Singh_2K22_EC_049
83,2024-04-04,05:13:20,10,Arindam_Singh_2K22_EC_049
84,2024-08-28,07:42:35,0,Arindam_Singh_2K22_EC_049
85,2024-06-13,00:50:34,0,Arindam_Singh_2K22_EC_049
86,2024-03-01,19:16:58,15,Arindam_Singh_2K22_EC_049
87,2024-12-05,19:30:44,10,Arindam_Singh_2K22_EC_049
88,2024-02-21,19:31:42,5,Arindam_Singh_2K22_EC_049
89,2024-05-07,03:55:55,10,Arindam_Singh_2K22_EC_049
90,2024-08-05,07:22:18,15,Arindam_Singh_2K22_EC_049
91,2024-04-17,09:03:56,15,Arindam_Singh_2K22_EC_049
92,2025-01-23,13:34:50,5,Arindam_Singh_2K22_EC_049
93,2024-05-28,03:39:48,10,Arindam_Singh_2K22_EC_049
94,2025-01-28,07:40:24,0,Arindam_Singh_2K22_EC_049
95,2024-05-15,09:48:34,0,Arindam_Singh_2K22_EC_049
96,2024-09-23,06:32:43,5,Arindam_Singh_2K22_EC_049
97,2025-02-03,22:24:27,15,Arindam_Singh_2K22_EC_049
98,2025-01-05,20:08:47,15,Arindam_Singh_2K22_EC_049
99,2024-11-26,18:38:53,0,Arindam_Singh_2K22_EC_049
100,2024-08-07,14:40:45,15,Arindam_Singh_2K22_EC_049
