payment_id,payment_mode,amount,made_by
1,Bank Transfer,158.5,Arindam_Singh_2K22_EC_049
2,Bank Transfer,107.48,Arindam_Singh_2K22_EC_049
3,Credit Card,419.15,Arindam_Singh_2K22_EC_049
4,Bank Transfer,305.17,Arindam_Singh_2K22_EC_049
5,Bank Transfer,175.34,Arindam_Singh_2K22_EC_049
6,Debit Card,311.58,Arindam_Singh_2K22_EC_049
7,Credit Card,405.75,Arindam_Singh_2K22_EC_049
8,UPI,141.66,Arindam_Singh_2K22_EC_049
9,Debit Card,210.78,Arindam_Singh_2K22_EC_049
10,Paypal,485.31,Arindam_Singh_2K22_EC_049
11,Debit Card,95.65,Arindam_Singh_2K22_EC_049
12,UPI,236.05,Arindam_Singh_2K22_EC_049
13,Credit Card,469.86,Arindam_Singh_2K22_EC_049
14,UPI,176.75,Arindam_Singh_2K22_EC_049
15,Credit Card,476.09,Arindam_Singh_2K22_EC_049
16,Bank Transfer,172.21,Arindam_Singh_2K22_EC_049
17,Bank Transfer,334.63,Arindam_Singh_2K22_EC_049
18,Bank Transfer,480.47,Arindam_Singh_2K22_EC_049
19,Paypal,230.92,Arindam_Singh_2K22_EC_049
20,UPI,296.33,Arindam_Singh_2K22_EC_049
21,UPI,428.59,Arindam_Singh_2K22_EC_049
22,UPI,492.36,Arindam_Singh_2K22_EC_049
23,Paypal,239.54,Arindam_Singh_2K22_EC_049
24,UPI,176.86,Arindam_Singh_2K22_EC_049
25,UPI,223.47,Arindam_Singh_2K22_EC_049
26,UPI,313.76,Arindam_Singh_2K22_EC_049
27,Credit Card,78.13,Arindam_Singh_2K22_EC_049
28,UPI,474.43,Arindam_Singh_2K22_EC_049
29,Bank Transfer,436.44,Arindam_Singh_2K22_EC_049
30,Debit Card,319.2,Arindam_Singh_2K22_EC_049
31,Debit Card,268.23,Arindam_Singh_2K22_EC_049
32,Bank Transfer,87.56,Arindam_Singh_2K22_EC_049
33,Credit Card,296.99,Arindam_Singh_2K22_EC_049
34,Debit Card,468.12,Arindam_Singh_2K22_EC_049
35,Paypal,110.2,Arindam_Singh_2K22_EC_049
36,UPI,65.47,Arindam_Singh_2K22_EC_049
37,UPI,227.68,Arindam_Singh_2K22_EC_049
38,UPI,152.57,Arindam_Singh_2K22_EC_049
39,Credit Card,483.75,Arindam_Singh_2K22_EC_049
40,Debit Card,132.72,Arindam_Singh_2K22_EC_049
41,Bank Transfer,264.94,Arindam_Singh_2K22_EC_049
42,Paypal,108.98,Arindam_Singh_2K22_EC_049
