room_no,capacity,hourly_rate,made_by
1,10,38.43,Arindam_Singh_2K22_EC_049
2,3,46.43,Arindam_Singh_2K22_EC_049
3,5,33.76,Arindam_Singh_2K22_EC_049
4,4,22.75,Arindam_Singh_2K22_EC_049
5,9,27.65,Arindam_Singh_2K22_EC_049
6,6,29.48,Arindam_Singh_2K22_EC_049
7,5,21.6,Arindam_Singh_2K22_EC_049
8,4,39.84,Arindam_Singh_2K22_EC_049
9,7,15.92,Arindam_Singh_2K22_EC_049
10,5,22.86,Arindam_Singh_2K22_EC_049
11,7,31.2,Arindam_Singh_2K22_EC_049
12,6,46.68,Arindam_Singh_2K22_EC_049
13,8,37.34,Arindam_Singh_2K22_EC_049
14,7,47.13,Arindam_Singh_2K22_EC_049
15,8,26.12,Arindam_Singh_2K22_EC_049
16,4,21.22,Arindam_Singh_2K22_EC_049
17,5,47.3,Arindam_Singh_2K22_EC_049
18,9,42.47,Arindam_Singh_2K22_EC_049
19,5,16.34,Arindam_Singh_2K22_EC_049
20,2,32.6,Arindam_Singh_2K22_EC_049
21,10,41.99,Arindam_Singh_2K22_EC_049
22,9,27.37,Arindam_Singh_2K22_EC_049
23,6,47.81,Arindam_Singh_2K22_EC_049
24,10,32.5,Arindam_Singh_2K22_EC_049
25,10,44.63,Arindam_Singh_2K22_EC_049
26,4,39.97,Arindam_Singh_2K22_EC_049
27,10,26.57,Arindam_Singh_2K22_EC_049
28,5,31.49,Arindam_Singh_2K22_EC_049
29,8,17.33,Arindam_Singh_2K22_EC_049
30,6,40.92,Arindam_Singh_2K22_EC_049
31,8,22.39,Arindam_Singh_2K22_EC_049
32,3,47.63,Arindam_Singh_2K22_EC_049
33,6,46.6,Arindam_Singh_2K22_EC_049
34,7,25.85,Arindam_Singh_2K22_EC_049
35,5,21.18,Arindam_Singh_2K22_EC_049
36,10,18.94,Arindam_Singh_2K22_EC_049
37,9,48.42,Arindam_Singh_2K22_EC_049
38,3,43.57,Arindam_Singh_2K22_EC_049
39,3,29.35,Arindam_Singh_2K22_EC_049
40,3,18.49,Arindam_Singh_2K22_EC_049
41,2,47.02,Arindam_Singh_2K22_EC_049
42,10,39.05,Arindam_Singh_2K22_EC_049
43,6,43.22,Arindam_Singh_2K22_EC_049
44,2,48.94,Arindam_Singh_2K22_EC_049
45,8,31.94,Arindam_Singh_2K22_EC_049
46,4,19.9,Arindam_Singh_2K22_EC_049
47,7,26.87,Arindam_Singh_2K22_EC_049
48,4,25.49,Arindam_Singh_2K22_EC_049
49,10,35.68,Arindam_Singh_2K22_EC_049
50,9,21.47,Arindam_Singh_2K22_EC_049
51,3,23.33,Arindam_Singh_2K22_EC_049
52,7,29.49,Arindam_Singh_2K22_EC_049
53,8,21.12,Arindam_Singh_2K22_EC_049
54,10,35.96,Arindam_Singh_2K22_EC_049
55,4,24.86,Arindam_Singh_2K22_EC_049
56,5,28.93,Arindam_Singh_2K22_EC_049
57,8,31.21,Arindam_Singh_2K22_EC_049
58,10,41.95,Arindam_Singh_2K22_EC_049
59,5,18.59,Arindam_Singh_2K22_EC_049
60,2,19.71,Arindam_Singh_2K22_EC_049
61,9,35.26,Arindam_Singh_2K22_EC_049
62,10,32.54,Arindam_Singh_2K22_EC_049
63,7,31.46,Arindam_Singh_2K22_EC_049
64,6,43.06,Arindam_Singh_2K22_EC_049
65,8,27.03,Arindam_Singh_2K22_EC_049
66,5,46.43,Arindam_Singh_2K22_EC_049
67,9,18.58,Arindam_Singh_2K22_EC_049
68,2,27.22,Arindam_Singh_2K22_EC_049
69,5,25.16,Arindam_Singh_2K22_EC_049
70,7,47.92,Arindam_Singh_2K22_EC_049
71,9,46.39,Arindam_Singh_2K22_EC_049
72,2,18.66,Arindam_Singh_2K22_EC_049
73,9,32.96,Arindam_Singh_2K22_EC_049
74,3,27.23,Arindam_Singh_2K22_EC_049
75,2,42.54,Arindam_Singh_2K22_EC_049
76,3,20.62,Arindam_Singh_2K22_EC_049
77,9,29.88,Arindam_Singh_2K22_EC_049
78,6,21.36,Arindam_Singh_2K22_EC_049
79,10,46.52,Arindam_Singh_2K22_EC_049
80,7,17.5,Arindam_Singh_2K22_EC_049
81,5,47.73,Arindam_Singh_2K22_EC_049
82,5,39.58,Arindam_Singh_2K22_EC_049
83,2,15.7,Arindam_Singh_2K22_EC_049
84,9,48.57,Arindam_Singh_2K22_EC_049
85,7,17.67,Arindam_Singh_2K22_EC_049
86,4,41.56,Arindam_Singh_2K22_EC_049
87,9,25.12,Arindam_Singh_2K22_EC_049
88,4,49.78,Arindam_Singh_2K22_EC_049
89,9,17.78,Arindam_Singh_2K22_EC_049
90,2,37.45,Arindam_Singh_2K22_EC_049
91,8,19.46,Arindam_Singh_2K22_EC_049
92,2,25.84,Arindam_Singh_2K22_EC_049
93,4,19.89,Arindam_Singh_2K22_EC_049
94,6,49.0,Arindam_Singh_2K22_EC_049
95,5,28.44,Arindam_Singh_2K22_EC_049
96,3,23.39,Arindam_Singh_2K22_EC_049
97,9,19.17,Arindam_Singh_2K22_EC_049
98,8,43.15,Arindam_Singh_2K22_EC_049
99,8,21.86,Arindam_Singh_2K22_EC_049
100,2,34.95,Arindam_Singh_2K22_EC_049
